1696465601,1285,59,1545,41,3415
1696467401,1256,64,1473,44,3341
1696469201,1325,69,1436,40,3314
1696471001,1331,64,1399,42,3266
1696472801,1380,66,1357,44,3276
1696474601,1336,69,1276,42,3111
1696476401,1369,68,1221,40,3052
1696478201,1353,61,1208,41,2971
1696480001,1415,61,1074,35,2891
1696481801,1413,61,890,41,2765
1696483601,1390,64,879,35,2706
1696485400,1418,63,834,36,2660
1696487200,1453,64,825,33,2682
1696489000,1514,64,824,36,2709
1696490800,1505,68,826,39,2740
1696492600,1511,65,804,38,2757
1696494400,1599,65,798,39,2825
1696496200,1563,66,783,36,2864
1696498000,1637,67,832,38,2954
1696499800,1642,72,857,38,3032
1696501600,1755,72,875,39,3134
1696503400,1880,72,933,40,3286
1696505200,1889,77,989,38,3519
1696507000,2008,76,1080,36,3741
1696508800,2265,77,1178,39,4041
1696510600,2390,76,1227,41,4222
1696512400,2517,73,1313,44,4431
1696514200,2561,77,1380,43,4555
